R8.5 Name,R9 Name
EfiDuplicateDevicePath,DuplicateDevicePath
EfiAppendDevicePath,AppendDevicePath
EfiAppendDevicePathNode,AppendDevicePathNode
EfiAppendDevicePathInstance,AppendDevicePathInstance
EfiDevicePathInstance,GetNextDevicePathInstance
EfiIsDevicePathMultiInstance,IsDevicePathMultiInstance
EfiDevicePathFromHandle,DevicePathFromHandle
EfiFileDevicePath,FileDevicePath
EfiLibGetSystemConfigurationTable,EfiGetSystemConfigurationTable
EfiLibCreateProtocolNotifyEvent,EfiCreateProtocolNotifyEvent
EfiLibNamedEventListen,EfiNamedEventListen
EfiLibNamedEventSignal,EfiNamedEventSignal
EfiLibLookupUnicodeString,LookupUnicodeString
EfiLibAddUnicodeString,AddUnicodeString
EfiLibFreeUnicodeStringTable,FreeUnicodeStringTable
EfiLibGetSystemConfigurationTable,EfiGetSystemConfigurationTable
EfiLibAllocateCopyPool,AllocateCopyPool
EfiLibAllocatePool,AllocatePool
EfiLibAllocateRuntimeCopyPool,AllocateRuntimeCopyPool
EfiLibAllocateRuntimePool,AllocateRuntimePool
EfiLibAllocateRuntimeZeroPool,AllocateRuntimeZeroPool
EfiLibAllocateZeroPool,AllocateZeroPool
EfiCreateEventReadyToBoot,EfiCreateEventReadyToBootEx
EfiCreateEventLegacyBoot,EfiCreateEventLegacyBootEx
EfiLibReportStatusCode,gRT->ReportStatusCode
EFI_LIST,LIST_ENTRY
EFI_LIST_ENTRY,LIST_ENTRY    
EFI_LIST_NODE,LIST_ENTRY    
FLOCK,EFI_LOCK
GetCpuHobInfo,R8_GetCpuHobInfo
GetDxeCoreHobInfo,R8_GetDxeCoreHobInfo
GetHob,R8_GetHob
GetHobBootMode,R8_GetHobBootMode
GetHobListSize,R8_GetHobListSize
GetHobVersion,R8_GetHobVersion
GetIoPortSpaceAddressHobInfo,R8_GetIoPortSpaceAddressHobInfo
GetNextFirmwareVolumeHob,R8_GetNextFirmwareVolumeHob
GetNextGuidHob,R8_GetNextGuidHob
GetPalEntryHobInfo,R8_GetPalEntryHobInfo
ASPrint,AsciiSPrint
AvSPrint,AsciiVSPrint
BufToHexString,R8_BufToHexString
CHARACTER_NUMBER_FOR_VALUE,MAXIMUM_VALUE_CHARACTERS
DivU64x32,DivU64x64Remainder
EfiAsciiStrCpy,AsciiStrCpy
EfiAsciiStrLen,AsciiStrLen
EfiCommonIoRead,n/a
EfiCommonIoWrite,n/a
EfiCommonLibCopyMem,CopyMem
EfiCommonLibSetMem,SetMem
EfiCommonLibZeroMem,ZeroMem
EfiCommonPciRead,n/a
EfiCommonPciWrite,n/a
EfiCompareGuid,CompareGuid
EfiCompareMem,CompareMem
EfiConstructStatusCodeData,n/a
EfiDebugAssertWorker,n/a
EfiDebugVPrintWorker,n/a
EfiInitializeCommonDriverLib,n/a
EfiLibGetSystemConfigurationTable,EfiGetSystemConfigurationTable
EfiStrCat,StrCat
EfiStrCmp,StrCmp
EfiStrCpy,StrCpy
EfiStrLen,StrLen
EfiStrSize,StrSize
EfiStrTrim,R8_EfiStrTrim
EfiValueToHexStr,R8_EfiValueToHexStr
EfiValueToString,AsciiValueToString
EFI_ALIGN,ALIGN_POINTER
GetPowerOfTwo,GetPowerOfTwo64
HexStringToBuf,R8_HexStringToBuf
IsHexDigit,R8_IsHexDigit
LEFT_JUSTIFY,n/a
